transaction_id,date,store_id,product_category,amount_usd,payment_method
T001,2026-02-02,BOOKSTORE-A,Textbooks,124.50,Card
T002,2026-02-02,BOOKSTORE-A,Apparel,38.00,Card
T003,2026-02-02,BOOKSTORE-B,School Supplies,12.75,Cash
T004,2026-02-02,BOOKSTORE-A,Snacks,6.25,Card
T005,2026-02-03,BOOKSTORE-B,Textbooks,89.99,Card
T006,2026-02-03,BOOKSTORE-A,Apparel,52.00,Card
T007,2026-02-03,BOOKSTORE-B,School Supplies,9.50,Cash
T008,2026-02-04,BOOKSTORE-A,Textbooks,210.00,Card
T009,2026-02-04,BOOKSTORE-B,Snacks,4.75,Cash
T010,2026-02-04,BOOKSTORE-A,School Supplies,17.20,Card
T011,2026-02-05,BOOKSTORE-B,Apparel,45.50,Card
T012,2026-02-05,BOOKSTORE-A,Textbooks,150.00,Card
T013,2026-02-05,BOOKSTORE-B,Snacks,8.10,Cash
T014,2026-02-06,BOOKSTORE-A,Apparel,29.99,Card
T015,2026-02-06,BOOKSTORE-B,Textbooks,99.00,Card
T016,2026-02-06,BOOKSTORE-A,School Supplies,14.40,Cash
T017,2026-02-07,BOOKSTORE-B,Textbooks,175.25,Card
T018,2026-02-07,BOOKSTORE-A,Snacks,5.50,Card
T019,2026-02-08,BOOKSTORE-B,Apparel,60.00,Card
T020,2026-02-08,BOOKSTORE-A,Textbooks,134.75,Card
