station_id,timestamp,temp_f,humidity_pct,wind_mph
WX-042,2026-02-10 00:00,34.1,72,5.2
WX-042,2026-02-10 01:00,33.5,74,4.8
WX-042,2026-02-10 02:00,32.9,75,4.1
WX-042,2026-02-10 03:00,32.2,77,3.9
WX-042,2026-02-10 04:00,31.8,78,3.5
WX-042,2026-02-10 05:00,31.4,79,3.2
WX-042,2026-02-10 06:00,31.9,78,3.8
WX-042,2026-02-10 07:00,33.6,74,4.6
WX-042,2026-02-10 08:00,36.2,69,5.5
WX-042,2026-02-10 09:00,39.8,63,6.7
WX-042,2026-02-10 10:00,43.5,58,7.9
WX-042,2026-02-10 11:00,46.9,53,8.6
WX-042,2026-02-10 12:00,49.2,49,9.1
WX-042,2026-02-10 13:00,50.6,47,9.4
WX-042,2026-02-10 14:00,51.3,46,9.6
WX-042,2026-02-10 15:00,50.8,48,9.0
WX-042,2026-02-10 16:00,48.7,52,8.2
WX-042,2026-02-10 17:00,45.1,57,7.1
WX-042,2026-02-10 18:00,41.4,62,6.0
WX-042,2026-02-10 19:00,38.9,66,5.4
WX-042,2026-02-10 20:00,37.2,68,5.0
WX-042,2026-02-10 21:00,36.0,70,4.7
WX-042,2026-02-10 22:00,35.1,71,4.4
WX-042,2026-02-10 23:00,34.5,72,4.2
